autonomyx_entity	schemaorg_type	description	key_properties	all_properties
tenant	Organization	A logical organization/tenant in AutonomyX	"name, domain, status"	"name, domain, status, description, url, logo, contactPoint, address, areaServed"
employee	Person	A human user within a tenant	"email, name, jobTitle"	"email, name, jobTitle, address, telephone, birthDate, hireDate, nationality, worksFor"
department	Organization	Department/team within a tenant	"name, member, parentOrganization"	"name, description, member, parentOrganization, areaServed, numberOfEmployees"
agent	SoftwareApplication	AI agent associated with an employee	"name, agentType, applicationCategory"	"name, applicationCategory, operatingSystem, applicationSubCategory, featureList, releaseNotes"
assignment	Association	Links employee to agent	"member, startDate, endDate"	"member, startDate, endDate, role, numMembers"
product	Product	A product/service line containing projects	"name, brand, category"	"name, brand, category, description, logo, offers, aggregateRating, review"
project	Project	A time-bounded work initiative	"name, creator, startDate, endDate"	"name, description, creator, startDate, endDate, funding, audience, locationCreated"
group	Organization	A collaboration container/section	"name, member, description"	"name, description, member, numberOfMembers, parentOrganization"
channel	DiscussionForum	A discussion forum/section	"name, about, numMembers"	"name, about, numMembers, abstract, keywords"
task	Action	Work item/task	"name, agent, object"	"name, description, agent, object, instrument, target, result"
deadline	Event	Time-bound commitment with due date	"name, startDate, endDate"	"name, description, startDate, endDate, eventStatus, location, organizer"
milestone	Event	Checkpoint in project/workflow	"name, startDate"	"name, description, startDate, eventStatus, location"
feedback	Review	User feedback on products	"itemReviewed, reviewRating, author"	"itemReviewed, reviewRating, reviewBody, author, datePublished, aggregateRating"
announcement	Article	Published announcement	"headline, articleBody, datePublished"	"headline, articleBody, datePublished, articleSection, wordCount"
comment	Comment	Comment on content	"text, author, about"	"text, author, about, upvoteCount, dateCreated, parentItem"
file	DigitalDocument	Document/file	"name, encodingFormat, size"	"name, encodingFormat, size, description, dateCreated, author"